1,Cluj,Cluj-Napoca,street,1636577
2,Cluj,Cluj-Napoca,street,1176144
3,Cluj,Cluj-Napoca,street,1759214
4,Cluj,Cluj-Napoca,street,1350848
5,Cluj,Cluj-Napoca,street,1755189
6,Cluj,Cluj-Napoca,street,1287439
7,Cluj,Cluj-Napoca,street,1936565
8,Cluj,Cluj-Napoca,street,1916711
9,Cluj,Cluj-Napoca,street,1520751
10,Cluj,Cluj-Napoca,street,1975745
11,Cluj,Cluj-Napoca,street,1415011
12,Cluj,Cluj-Napoca,street,1526215
13,Cluj,Cluj-Napoca,street,1477980
14,Cluj,Cluj-Napoca,street,1868259
15,Cluj,Cluj-Napoca,street,1888237
16,Cluj,Cluj-Napoca,street,1497517
17,Cluj,Cluj-Napoca,street,1030614
18,Cluj,Cluj-Napoca,street,1724091
19,Cluj,Cluj-Napoca,street,1671754
20,Cluj,Cluj-Napoca,street,1334852
21,Cluj,Cluj-Napoca,street,1925776
22,Cluj,Cluj-Napoca,street,1807653
23,Cluj,Cluj-Napoca,street,1228657
24,Cluj,Cluj-Napoca,street,1168712
25,Cluj,Cluj-Napoca,street,1768631
26,Cluj,Cluj-Napoca,street,1786354
27,Cluj,Cluj-Napoca,street,1980886
28,Cluj,Cluj-Napoca,street,1863252
29,Cluj,Cluj-Napoca,street,1665244
30,Cluj,Cluj-Napoca,street,1802042
31,Cluj,Cluj-Napoca,street,1468546
32,Cluj,Cluj-Napoca,street,1395280
33,Cluj,Cluj-Napoca,street,1874595
34,Cluj,Cluj-Napoca,street,1031878
35,Cluj,Cluj-Napoca,street,1471912
36,Cluj,Cluj-Napoca,street,1186428
37,Cluj,Cluj-Napoca,street,1358051
38,Cluj,Cluj-Napoca,street,1708449
39,Cluj,Cluj-Napoca,street,1988241
40,Cluj,Cluj-Napoca,street,1355630
41,Cluj,Cluj-Napoca,street,1984814
42,Cluj,Cluj-Napoca,street,1505813
43,Cluj,Cluj-Napoca,street,1661990
44,Cluj,Cluj-Napoca,street,1441672
45,Cluj,Cluj-Napoca,street,1014877
46,Cluj,Cluj-Napoca,street,1975786
47,Cluj,Cluj-Napoca,street,1130124
48,Cluj,Cluj-Napoca,street,1915915
49,Cluj,Cluj-Napoca,street,1132559
50,Cluj,Cluj-Napoca,street,1318112
51,Cluj,Cluj-Napoca,street,1175197
52,Cluj,Cluj-Napoca,street,1398296
53,Cluj,Cluj-Napoca,street,1399709
54,Cluj,Cluj-Napoca,street,1187527
55,Cluj,Cluj-Napoca,street,1556904
56,Cluj,Cluj-Napoca,street,1726325
57,Cluj,Cluj-Napoca,street,1573808
58,Cluj,Cluj-Napoca,street,1291718
59,Cluj,Cluj-Napoca,street,1810021
60,Cluj,Cluj-Napoca,street,1316861
61,Cluj,Cluj-Napoca,street,1537490
62,Cluj,Cluj-Napoca,street,1442309
63,Cluj,Cluj-Napoca,street,1497958
64,Cluj,Cluj-Napoca,street,1004069
65,Cluj,Cluj-Napoca,street,1283119
66,Cluj,Cluj-Napoca,street,1167396
67,Cluj,Cluj-Napoca,street,1834663
68,Cluj,Cluj-Napoca,street,1763102
69,Cluj,Cluj-Napoca,street,1338322
70,Cluj,Cluj-Napoca,street,1131599
71,Cluj,Cluj-Napoca,street,1085762
72,Cluj,Cluj-Napoca,street,1275609
73,Cluj,Cluj-Napoca,street,1178561
74,Cluj,Cluj-Napoca,street,1315594
75,Cluj,Cluj-Napoca,street,1759367
76,Cluj,Cluj-Napoca,street,1779573
77,Cluj,Cluj-Napoca,street,1148063
78,Cluj,Cluj-Napoca,street,1860530
79,Cluj,Cluj-Napoca,street,1549056
80,Cluj,Cluj-Napoca,street,1198237
81,Cluj,Cluj-Napoca,street,1515809
82,Cluj,Cluj-Napoca,street,1325423
83,Cluj,Cluj-Napoca,street,1707988
84,Cluj,Cluj-Napoca,street,1238711
85,Cluj,Cluj-Napoca,street,1755697
86,Cluj,Cluj-Napoca,street,1892111
87,Cluj,Cluj-Napoca,street,1916720
88,Cluj,Cluj-Napoca,street,1222711
89,Cluj,Cluj-Napoca,street,1388455
90,Cluj,Cluj-Napoca,street,1261876
91,Cluj,Cluj-Napoca,street,1417492
92,Cluj,Cluj-Napoca,street,1357403
93,Cluj,Cluj-Napoca,street,1586950
94,Cluj,Cluj-Napoca,street,1588303
95,Cluj,Cluj-Napoca,street,1204650
96,Cluj,Cluj-Napoca,street,1324998
97,Cluj,Cluj-Napoca,street,1176424
98,Cluj,Cluj-Napoca,street,1044826
99,Cluj,Cluj-Napoca,street,1029669
100,Cluj,Cluj-Napoca,street,1337609
101,Cluj,Cluj-Napoca,street,1135002
102,Cluj,Cluj-Napoca,street,1528848
